Year,Month,Time,Water Storage,Soil Erosion,Water Quality,GW Recharge,Flor Quality,Biomass,CarbonSeq,GHG,Amphibians,Waterfowl,Shorebirds,Pollinators
2002,13,2003.083333,0.783347845,0.381978865,0.223003328,0.557880585,0.342493103,0.447658648,0.418716563,0.465144974,0.245826395,0.514167863,0.502145485,0.649208756
2003,14,2004.166667,0.741140386,0.407317088,0.242677802,0.594273523,0.389076725,0.397543283,0.448307427,0.454972758,0.320698987,0.425198659,0.459278764,0.676744086
2004,15,2005.25,0.701520297,0.407131261,0.228420155,0.600769294,0.351429697,0.396676793,0.422026353,0.427333946,0.372340702,0.644171032,0.408147993,0.675123347
2005,16,2006.333333,0.743853101,0.43818183,0.224215401,0.586952462,0.367596802,0.404757902,0.383199906,0.431050809,0.238168366,0.449061997,0.434726385,0.644768657
2006,17,2007.416667,0.843379359,0.396068015,0.242966874,0.543162662,0.339480028,0.387738606,0.375040854,0.417448792,0.216494349,0.275470226,0.626353294,0.5983771
2007,18,2008.5,0.74081194,0.434476056,0.230870229,0.536493199,0.331780037,0.390728976,0.343821474,0.414672798,0.012276072,0.159845966,0.364024664,0.651281422
2008,19,2009.583333,0.899902824,0.443190344,0.258505047,0.596337827,0.363767235,0.359968789,0.345366554,0.428766657,0.464494874,0.08219749,0.410914002,0.606071683
2009,20,2010.666667,0.848862046,0.452244025,0.25841787,0.57317884,0.34751333,0.359755903,0.339786373,0.413585129,0.241764509,0.757314587,0.63403964,0.664425183
2010,21,2011.75,0.720383659,0.450925216,0.258146383,0.592321059,0.33560699,0.360600488,0.329827897,0.430902935,0.487802388,0.254225007,0.217113738,0.677218406
2011,22,2012.833333,0.781819404,0.421491758,0.268739961,0.549031465,0.32007719,0.371634817,0.279175449,0.418723579,0.205982525,0.597730047,0.242167182,0.642011846
2012,23,2013.916667,0.850372267,0.449304779,0.262584055,0.552636443,0.341741976,0.313586111,0.265112568,0.437591922,0.473901251,0.143785555,0.563277976,0.641167323
2013,24,2015,0.859068409,0.436921423,0.264200615,0.509635584,0.320059176,0.347453445,0.276183459,0.442888772,0.0855654,0.252875821,0.30490517,0.636842083
2014,25,2016.083333,0.707627414,0.477334146,0.267732364,0.526206674,0.327405066,0.312435785,0.294846971,0.445120889,0.363401455,0.507366943,0.321948833,0.641536178
2015,26,2017.166667,0.869034023,0.482914258,0.263527583,0.510107777,0.324873545,0.287466028,0.303692286,0.397185011,0.25900493,0.056424462,0.139091311,0.619262854
2016,27,2018.25,0.802547073,0.514421719,0.270232367,0.498652174,0.329348594,0.293588338,0.272873012,0.414454442,0.395369747,0.446279279,0.490063586,0.633295058
2017,28,2019.333333,0.808789272,0.477048637,0.26866937,0.531589655,0.302674821,0.275800929,0.272516121,0.420830002,0.442300723,0.874581298,0.455490275,0.668967821
2018,29,2020.416667,0.872931618,0.49869666,0.297322564,0.55562993,0.325951403,0.253388418,0.246632552,0.389602061,0.050975595,0.823724298,0.556351812,0.630173519
2019,30,2021.5,0.782028733,0.519859181,0.285855807,0.531176822,0.324489152,0.261405681,0.188319685,0.401333648,0.319848511,0.15890283,0.211171281,0.656746412
2020,31,2022.583333,0.89234962,0.52263085,0.27688632,0.518460329,0.334150583,0.237904555,0.200602211,0.40544285,0.43341872,0.18179428,0.242661419,0.630103057
2021,32,2023.666667,0.723777971,0.532312364,0.293619547,0.474587381,0.329882008,0.262825965,0.201540522,0.411154266,0.215881359,0.297052273,0.320729352,0.692862391
2022,33,2024.75,0.738308633,0.552106244,0.307868199,0.518430479,0.294458512,0.206567858,0.211714162,0.418873852,0.106270153,0.159582762,0.540671973,0.670423207
2023,34,2025.833333,0.883965634,0.555420276,0.29524645,0.520634725,0.303164259,0.240996239,0.203723151,0.391769342,0.289092116,0.121656942,0.150117222,0.686432245
2024,35,2026.916667,0.807393689,0.545907772,0.296312062,0.498304035,0.306198897,0.211475654,0.214410198,0.396990445,0.424515043,0.140863864,0.177947883,0.649010136
2025,36,2028,0.772131632,0.561966522,0.314164236,0.479416382,0.286016338,0.18505897,0.123392567,0.405633033,0.087493331,0.232800596,0.317427224,0.61828286
2026,37,2029.083333,0.719756836,0.568682477,0.3273719,0.46740806,0.316487675,0.203591708,0.187651067,0.416631384,0.052215103,0.245485342,0.405500701,0.603384113
2027,38,2030.166667,0.712687184,0.535780597,0.332090681,0.501705794,0.312765696,0.165248569,0.183545535,0.415329597,0.114875598,0.310881698,0.26876609,0.629797646
2028,39,2031.25,0.8918664,0.597429791,0.330416873,0.4536139,0.296853553,0.153051021,0.143856666,0.369177815,0.133238669,0.875816297,0.488237081,0.624423463
2029,40,2032.333333,0.753374523,0.552725284,0.327412865,0.43900771,0.309360808,0.1466431,0.078180208,0.379618885,0.376431836,0.293847888,0.453047563,0.60179245
2030,41,2033.416667,0.707515393,0.620203612,0.335423137,0.471195422,0.283528572,0.122423438,0.152316857,0.392345535,0.252581747,0.37158127,0.364224476,0.687941256
2031,42,2034.5,0.775387812,0.570921937,0.319519959,0.464178653,0.27703551,0.149312695,0.087340461,0.385725161,0.285739819,0.491343121,0.113456169,0.608266981
